,0
0,100000.0
1,99996.72921911576
2,99945.96083119085
3,99942.71357326595
4,99939.46631534105
5,99965.57062471016
6,100088.08023255723
7,100014.84814330217
8,100187.05311546137
9,100037.72169573151
10,100034.46075600167
11,100031.19981627181
12,99436.60504776178
13,99837.46220979013
14,99813.3565220292
15,98204.2155101749
16,97157.76547629216
17,97155.39995136832
18,97152.98714306435
19,98435.30970858679
20,98590.63491068593
21,100240.35886118293
22,99626.7123949098
23,100398.5307571182
24,100396.10403198231
25,100393.67730684641
26,100066.09589256147
27,99901.86302807281
28,99917.4641743797
29,99917.44802431231
30,99959.86211997991
31,99959.86211997991
