,0
0,-12.42098372009059
1,-352.10593823410454
2,-12.252756395100732
3,-12.252755524470558
4,-4.481622738229817
5,267.21447185548226
6,2665.456776704532
7,217.00402960997175
8,811.3142807354126
9,-4.547473508864641e-13
10,0.0
11,325.2004726254828
12,-5042.22219874105
13,1449.3478432177087
14,-1144.5921016279763
15,-427.1855769562326
16,9.094947017729282e-13
17,0.0
18,551.2863654182491
19,-1080.7163387100004
20,-1270.1342269196389
21,-1625.3628332935073
22,-2732.81452188676
23,-9.094947017729282e-13
24,0.0
25,-565.9430109784644
26,103.85263148783542
27,2441.627484077222
