,0
0,100000.0
1,99987.57901627991
2,99635.4730780458
3,99623.2203216507
4,99610.96756612623
5,99606.485943388
6,99873.70041524348
7,102539.15719194802
8,102756.16122155798
9,103567.4755022934
10,103567.4755022934
11,103567.4755022934
12,103892.67597491888
13,98850.45377617782
14,100299.80161939554
15,99155.20951776757
16,98728.02394081133
17,98728.02394081133
18,98728.02394081133
19,99279.31030622958
20,98198.59396751958
21,96928.45974059995
22,95303.09690730643
23,92570.28238541968
24,92570.28238541968
25,92570.28238541968
26,92004.3393744412
27,92108.19200592906
28,94549.81949000627
