,0
0,100000.0
1,99996.80376788291
2,99939.18846654572
3,99936.01918520851
4,99932.84990387132
5,100256.1374585007
6,100318.15711478585
7,100936.84018015309
8,100584.8533967025
9,100947.19830111336
10,100943.93288552422
11,100940.66746993507
12,100608.33877285999
13,100659.70403278744
14,100648.6331769717
15,100645.3707693787
16,100732.51411516669
17,100730.07974743175
18,100727.64537969683
19,100013.70608562342
20,101372.92670626988
21,100873.79696021324
22,99588.8088474902
23,101682.35114115024
24,101679.91083071358
25,101677.42233868572
26,101076.61831747335
27,100554.86129959257
28,99971.29638947827
29,100224.79857434743
30,98415.86875416727
