,0
0,100000.0
1,99996.05560666516
2,99988.47690320158
3,99983.93504177524
4,99978.74340669367
5,99268.59518214442
6,98762.08035372291
7,99166.23642416322
8,99821.56225573662
9,99420.89195146249
10,99416.30405591999
11,99412.52817241686
12,98617.01313027309
13,99011.76690048185
14,98706.69369159217
15,97717.1808828313
16,98865.27926796499
17,98864.60007127697
18,98863.87252892948
19,98863.19079634755
20,98769.35785959214
21,100432.54574391675
22,103175.67232702488
23,103022.3329157488
24,103021.66768707272
25,103021.00177062023
26,102440.7958510163
27,101098.62259335969
28,99820.16366368094
29,101176.18088197293
30,106528.02926283857
31,106526.51533947862
32,106524.81212295292
33,108721.41186773329
34,109078.88829403234
35,109282.64761372976
36,111400.21221114825
37,110912.49039920585
38,110911.61244919304
39,110910.70244782738
40,109822.04387515274
41,110911.69122898472
42,111207.205486639
43,112352.20810399069
44,113127.68658819153
45,113126.69527383389
46,113125.63591652505
47,113124.57302641644
48,112096.78921815308
49,111800.31371820757
50,112907.90731458955
51,114333.30467105423
52,114332.45812583792
53,114331.73046250465
54,113346.5463202042
55,113120.16312428204
56,114320.75868142297
57,114208.06157423535
58,112967.8839409672
59,112967.28074180419
60,112966.63908537867
61,114718.865722642
62,114298.36168775226
63,113769.70213911646
64,114777.02044742928
65,112642.63399519495
66,112642.54880138206
67,112642.45248617226
68,112521.7647007433
69,110001.60803793557
70,109235.02397991033
71,110943.4829624327
72,109989.34192394957
73,109989.23291787355
74,109989.11644148426
75,111149.65720987474
76,110664.54860307723
77,111663.52098573757
78,111238.72630238041
79,112540.37847949001
80,112540.2784708101
81,112540.15747772911
82,111656.83289577934
83,111191.2792867579
84,109778.43675694146
85,108992.24612398057
86,109968.38634843397
87,109968.25259903792
88,109968.10864806102
89,111133.02257936401
90,110275.59828553513
91,109579.18780391113
92,109996.33841528265
93,109996.21072193836
94,109996.08423305023
95,109995.94094936606
96,111116.36926705843
97,110860.89128371685
98,112519.43956176957
99,113042.19328666311
100,113060.39345599282
101,113060.26008405199
102,113060.08718850752
103,112817.93290346664
104,113353.21600357216
105,113269.68590251765
106,113862.99120311372
107,111106.94267778574
108,111106.81491338441
109,111106.65376460386
110,114377.20237112598
111,114944.38479221432
112,114935.10876084829
113,114849.3838933388
114,125812.98598104945
115,125812.85012038896
116,125812.69743449798
117,124261.9650776308
118,122515.41080384489
119,122360.3757170071
120,120352.89676976165
121,120854.16939919717
122,120854.03701901254
123,120853.9041219199
124,120902.56983217775
125,120314.8279998697
126,119819.62744628768
127,121519.09959637531
128,123725.81517864011
129,123725.78638719718
130,123725.78638719718
131,123435.64827553554
132,123096.49135710977
133,122398.48110231519
134,123801.86491510835
135,122518.07341727037
136,122518.07341727037
137,122518.07341727037
138,122535.45459874823
139,121832.65522832665
140,122179.08543134495
141,123672.91456357132
142,122669.0919323626
143,122669.07264611994
144,122669.07264611994
145,122669.07264611994
146,121753.07323806948
147,123307.9298084993
148,122237.04195057755
149,122483.0896127754
150,122483.03272137928
151,122483.03272137928
152,122918.67704833407
153,122994.56240440218
154,124204.05664065394
155,122573.55825451142
156,121765.24063431658
157,121765.24063431658
158,121765.24023442682
159,120796.90939404379
160,121160.66140173125
161,122748.0039490829
162,123400.13510462314
163,122515.89297044036
164,122515.86832198959
165,122515.8361575662
166,121085.14898794265
167,121977.42299343702
168,122198.33993059091
169,125041.98501779666
170,123951.90396669091
171,123951.88198004493
172,123951.88198004493
173,124344.53906124036
174,126188.56461524972
175,124860.22797232089
176,124555.91831763694
177,124122.59034745622
178,124122.59034745622
179,124122.59034745622
180,121525.56218236727
181,122517.40358092147
182,123500.7866740174
183,123539.19720887691
184,123539.18585305795
185,123539.16845028795
186,123539.16845028795
187,123159.95752367195
188,123517.04900028664
189,121608.55851658249
190,122597.67121572398
191,124962.15118080164
192,124962.1314785157
193,124962.1314785157
194,127938.89393560162
195,130291.51400880775
196,129379.42792864227
197,132583.6888825118
198,134016.9499176548
199,134016.9499176548
200,134016.9499176548
201,135218.98786856892
202,134902.5970547074
203,134939.526370318
204,133836.73662509446
205,143532.31118248406
206,143532.31118248406
207,143532.31118248406
208,143721.56864967613
209,143025.67138030587
210,144081.78248917396
211,145702.80360696962
212,145658.75241499866
213,145658.75241499866
214,145658.75241499866
215,145390.6640229222
216,144580.67107597305
217,145893.466039332
218,143908.88634695907
219,142553.62740639554
220,142553.62740639554
221,142553.62740639554
222,143197.30404059403
223,143374.5359806592
224,142971.26943850672
225,144158.68628116915
226,144721.18037707944
227,144721.18037707944
228,144721.18037707944
229,145470.52492275235
230,145166.44566688064
231,144367.6991788485
232,139987.48265208432
233,134559.38087626972
234,134559.38087626972
235,134559.38087626972
236,126870.55830343283
237,126913.42683514438
238,135369.15888537868
239,139613.8344389049
240,139542.14786602132
241,139542.14786602132
242,139542.14786602132
243,138004.78774026938
244,133697.94920232132
245,137196.02875802628
246,136194.47513093706
247,134558.07294915317
248,134558.07294915317
249,134558.07294915317
250,134558.07294915317
251,139300.73311653433
252,138644.74468828712
253,139972.8717387849
254,141550.14021416826
255,141550.14021416826
256,141550.14021416826
257,139647.1831158045
258,140243.91621606963
259,141424.95880421856
260,143717.2512852675
261,143476.79183958558
262,143476.79183958558
263,143476.79183958558
264,145163.7038355364
265,142738.54184431772
266,142265.99926321852
267,141552.49075979766
268,139854.1867657812
269,139854.1867657812
270,139854.1867657812
271,134750.72357417407
272,133381.01586393817
